v1,v2
spam,You have been selected for a free iPhone. Text WIN to 80000.
ham,"Hey, are we still meeting at 5 PM today?"
ham,Let’s catch up this weekend. It’s been a while!
ham,Happy Birthday! Have a great day!
ham,I'll call you back in 10 minutes.
ham,Let’s catch up this weekend. It’s been a while!
spam,Congratulations! You've won a $1000 gift card. Call now to claim.
ham,"Hey, are we still meeting at 5 PM today?"
ham,Happy Birthday! Have a great day!
ham,"Hey, are we still meeting at 5 PM today?"
ham,Let’s catch up this weekend. It’s been a while!
ham,"Hey, are we still meeting at 5 PM today?"
ham,Let’s catch up this weekend. It’s been a while!
ham,I'll call you back in 10 minutes.
ham,Let’s catch up this weekend. It’s been a while!
spam,URGENT! Your account has been compromised. Visit scamlink.com immediately.
ham,Happy Birthday! Have a great day!
spam,URGENT! Your account has been compromised. Visit scamlink.com immediately.
spam,Congratulations! You've won a $1000 gift card. Call now to claim.
ham,"Hey, are we still meeting at 5 PM today?"
ham,Can you please send the project file?
ham,Let’s catch up this weekend. It’s been a while!
spam,Claim your FREE vacation package now! Limited time only.
ham,Happy Birthday! Have a great day!
ham,Let’s catch up this weekend. It’s been a while!
ham,Can you please send the project file?
ham,I'll call you back in 10 minutes.
spam,URGENT! Your account has been compromised. Visit scamlink.com immediately.
ham,Can you please send the project file?
ham,"Hey, are we still meeting at 5 PM today?"
ham,Let’s catch up this weekend. It’s been a while!
ham,Let’s catch up this weekend. It’s been a while!
ham,Let’s catch up this weekend. It’s been a while!
ham,"Hey, are we still meeting at 5 PM today?"
spam,Congratulations! You've won a $1000 gift card. Call now to claim.
spam,Claim your FREE vacation package now! Limited time only.
ham,Happy Birthday! Have a great day!
ham,I'll call you back in 10 minutes.
ham,Let’s catch up this weekend. It’s been a while!
spam,Win big prizes every week. Click here to enter: fakeprize.net
ham,Let’s catch up this weekend. It’s been a while!
ham,Happy Birthday! Have a great day!
spam,Congratulations! You've won a $1000 gift card. Call now to claim.
spam,Claim your FREE vacation package now! Limited time only.
ham,I'll call you back in 10 minutes.
spam,You have been selected for a free iPhone. Text WIN to 80000.
spam,URGENT! Your account has been compromised. Visit scamlink.com immediately.
ham,Happy Birthday! Have a great day!
ham,Can you please send the project file?
ham,"Hey, are we still meeting at 5 PM today?"
ham,Let’s catch up this weekend. It’s been a while!
spam,Win big prizes every week. Click here to enter: fakeprize.net
spam,URGENT! Your account has been compromised. Visit scamlink.com immediately.
ham,I'll call you back in 10 minutes.
ham,Happy Birthday! Have a great day!
spam,Claim your FREE vacation package now! Limited time only.
ham,Let’s catch up this weekend. It’s been a while!
spam,Win big prizes every week. Click here to enter: fakeprize.net
ham,Let’s catch up this weekend. It’s been a while!
ham,"Hey, are we still meeting at 5 PM today?"
ham,Can you please send the project file?
ham,"Hey, are we still meeting at 5 PM today?"
ham,Happy Birthday! Have a great day!
spam,Congratulations! You've won a $1000 gift card. Call now to claim.
ham,Happy Birthday! Have a great day!
ham,I'll call you back in 10 minutes.
spam,You have been selected for a free iPhone. Text WIN to 80000.
ham,Let’s catch up this weekend. It’s been a while!
ham,I'll call you back in 10 minutes.
spam,You have been selected for a free iPhone. Text WIN to 80000.
ham,"Hey, are we still meeting at 5 PM today?"
ham,"Hey, are we still meeting at 5 PM today?"
ham,I'll call you back in 10 minutes.
ham,Let’s catch up this weekend. It’s been a while!
ham,Happy Birthday! Have a great day!
ham,"Hey, are we still meeting at 5 PM today?"
spam,URGENT! Your account has been compromised. Visit scamlink.com immediately.
ham,I'll call you back in 10 minutes.
ham,"Hey, are we still meeting at 5 PM today?"
ham,Let’s catch up this weekend. It’s been a while!
ham,Happy Birthday! Have a great day!
ham,Happy Birthday! Have a great day!
spam,Claim your FREE vacation package now! Limited time only.
spam,Congratulations! You've won a $1000 gift card. Call now to claim.
ham,"Hey, are we still meeting at 5 PM today?"
spam,Congratulations! You've won a $1000 gift card. Call now to claim.
ham,Can you please send the project file?
